;fl_date;mkt_carrier_fl_num;origin_city_name;dest_city_name;distance;dep_delay;arr_delay;carrier_delay;weather_delay;nas_delay;security_delay;late_aircraft_delay
63;2019-11-14;4284;Chicago, IL;St. Louis, MO;258.0;54.0;42.0;42.0;0.0;0.0;0.0;0.0
64;2019-11-14;4285;Chicago, IL;Lincoln, NE;466.0;-7.0;-12.0;;;;;
65;2019-11-14;4287;Chicago, IL;Peoria, IL;130.0;-11.0;-17.0;;;;;
66;2019-11-14;4291;Detroit, MI;Chicago, IL;235.0;-5.0;15.0;0.0;0.0;15.0;0.0;0.0
67;2019-11-14;4291;Chicago, IL;New York, NY;733.0;-8.0;-22.0;;;;;
68;2019-11-14;4294;Newark, NJ;Savannah, GA;708.0;-8.0;-11.0;;;;;
69;2019-11-14;4295;Lafayette, LA;Houston, TX;201.0;-9.0;-25.0;;;;;
70;2019-11-14;4297;New York, NY;Cleveland, OH;419.0;-6.0;-1.0;;;;;
71;2019-11-14;4299;Bangor, ME;Newark, NJ;393.0;-12.0;-3.0;;;;;
72;2019-11-14;4300;Richmond, VA;Newark, NJ;277.0;-9.0;-22.0;;;;;
73;2019-11-14;4302;New York, NY;Cleveland, OH;419.0;-8.0;-18.0;;;;;
74;2019-11-14;4303;Chicago, IL;Grand Rapids, MI;137.0;2.0;-3.0;;;;;
75;2019-11-14;4306;Houston, TX;Jackson/Vicksburg, MS;351.0;-7.0;-13.0;;;;;
76;2019-11-14;4308;Cleveland, OH;New York, NY;419.0;-4.0;-20.0;;;;;
77;2019-11-14;4309;Mobile, AL;Houston, TX;427.0;-2.0;-13.0;;;;;
78;2019-11-14;4310;Valparaiso, FL;Houston, TX;528.0;-13.0;-25.0;;;;;
79;2019-11-14;4315;Jacksonville, FL;Chicago, IL;864.0;-6.0;-27.0;;;;;
80;2019-11-14;4316;Houston, TX;Lake Charles, LA;127.0;-4.0;-12.0;;;;;
81;2019-11-14;4318;Houston, TX;Harlingen/San Benito, TX;295.0;-5.0;-13.0;;;;;
